CPUTIME,PID,STARTBURST,ENDBURST,COMPLETED
0,7,317,277,0
43,6,130,90,0
86,6,90,50,0
129,6,50,10,0
172,4,337,297,0
215,6,10,0,225
228,3,231,191,0
271,3,191,151,0
314,3,151,111,0
357,3,111,71,0
400,3,71,31,0
443,3,31,0,474
477,2,488,448,0
520,2,448,408,0
563,2,408,368,0
606,2,368,328,0
649,2,328,288,0
692,2,288,248,0
735,2,248,208,0
778,2,208,168,0
821,2,168,128,0
864,2,128,88,0
907,2,88,48,0
950,2,48,8,0
993,2,8,0,1001
1004,7,277,237,0
1047,7,237,197,0
1090,7,197,157,0
1133,7,157,117,0
1176,7,117,77,0
1219,7,77,37,0
1262,7,37,0,1299
1302,9,942,902,0
1345,9,902,862,0
1388,9,862,822,0
1431,9,822,782,0
1474,9,782,742,0
1517,9,742,702,0
1560,9,702,662,0
1603,9,662,622,0
1646,9,622,582,0
1689,9,582,542,0
1732,9,542,502,0
1775,9,502,462,0
1818,9,462,422,0
1861,9,422,382,0
1904,4,297,257,0
1947,9,382,342,0
1990,9,342,302,0
2033,9,302,262,0
2076,9,262,222,0
2119,9,222,182,0
2162,9,182,142,0
2205,9,142,102,0
2248,9,102,62,0
2291,9,62,22,0
2334,9,22,0,2356
2359,5,222,182,0
2402,8,439,399,0
2445,8,399,359,0
2488,8,359,319,0
2531,8,319,279,0
2574,8,279,239,0
2617,8,239,199,0
2660,8,199,159,0
2703,8,159,119,0
2746,8,119,79,0
2789,8,79,39,0
2832,8,39,0,2871
2874,4,257,217,0
2917,4,217,177,0
2960,4,177,137,0
3003,4,137,97,0
3046,4,97,57,0
3089,4,57,17,0
3132,4,17,0,3149
3152,5,182,142,0
3195,5,142,102,0
3238,5,102,62,0
3281,5,62,22,0
3324,5,22,0,3346
3349,1,624,584,0
3392,1,584,544,0
3435,1,544,504,0
3478,1,504,464,0
3521,1,464,424,0
3564,1,424,384,0
3607,1,384,344,0
3650,1,344,304,0
3693,1,304,264,0
3736,1,264,224,0
3779,1,224,184,0
3822,1,184,144,0
3865,1,144,104,0
3908,1,104,64,0
3951,1,64,24,0
3994,1,24,0,4018
TURNAROUND, AVG 
18739,2082.11
