CPUTIME,PID,STARTBURST,ENDBURST,COMPLETED
0,1,624,604,0
23,2,488,468,0
46,3,231,211,0
69,4,337,317,0
92,5,222,202,0
115,6,130,110,0
138,7,317,297,0
161,8,439,419,0
184,9,942,922,0
207,1,604,584,0
230,2,468,448,0
253,3,211,191,0
276,4,317,297,0
299,5,202,182,0
322,6,110,90,0
345,7,297,277,0
368,8,419,399,0
391,9,922,902,0
414,1,584,564,0
437,2,448,428,0
460,3,191,171,0
483,4,297,277,0
506,5,182,162,0
529,6,90,70,0
552,7,277,257,0
575,8,399,379,0
598,9,902,882,0
621,1,564,544,0
644,2,428,408,0
667,3,171,151,0
690,4,277,257,0
713,5,162,142,0
736,6,70,50,0
759,7,257,237,0
782,8,379,359,0
805,9,882,862,0
828,1,544,524,0
851,2,408,388,0
874,3,151,131,0
897,4,257,237,0
920,5,142,122,0
943,6,50,30,0
966,7,237,217,0
989,8,359,339,0
1012,9,862,842,0
1035,1,524,504,0
1058,2,388,368,0
1081,3,131,111,0
1104,4,237,217,0
1127,5,122,102,0
1150,6,30,10,0
1173,7,217,197,0
1196,8,339,319,0
1219,9,842,822,0
1242,1,504,484,0
1265,2,368,348,0
1288,3,111,91,0
1311,4,217,197,0
1334,5,102,82,0
1357,6,10,0,1367
1370,7,197,177,0
1393,8,319,299,0
1416,9,822,802,0
1439,1,484,464,0
1462,2,348,328,0
1485,3,91,71,0
1508,4,197,177,0
1531,5,82,62,0
1554,7,177,157,0
1577,8,299,279,0
1600,9,802,782,0
1623,1,464,444,0
1646,2,328,308,0
1669,3,71,51,0
1692,4,177,157,0
1715,5,62,42,0
1738,7,157,137,0
1761,8,279,259,0
1784,9,782,762,0
1807,1,444,424,0
1830,2,308,288,0
1853,3,51,31,0
1876,4,157,137,0
1899,5,42,22,0
1922,7,137,117,0
1945,8,259,239,0
1968,9,762,742,0
1991,1,424,404,0
2014,2,288,268,0
2037,3,31,11,0
2060,4,137,117,0
2083,5,22,2,0
2106,7,117,97,0
2129,8,239,219,0
2152,9,742,722,0
2175,1,404,384,0
2198,2,268,248,0
2221,3,11,0,2232
2235,4,117,97,0
2258,5,2,0,2260
2263,7,97,77,0
2286,8,219,199,0
2309,9,722,702,0
2332,1,384,364,0
2355,4,97,77,0
2378,5,0,0,2378
2381,7,77,57,0
2404,8,199,179,0
2427,9,702,682,0
2450,1,364,344,0
2473,4,77,57,0
2496,5,0,0,2496
2499,8,179,159,0
2522,9,682,662,0
2545,1,344,324,0
2568,5,0,0,2568
2571,8,159,139,0
2594,1,324,304,0
2617,5,0,0,2617
2620,8,139,119,0
2643,1,304,284,0
2666,8,119,99,0
2689,1,284,264,0
2712,8,99,79,0
2735,1,264,244,0
2758,8,79,59,0
2781,1,244,224,0
2804,8,59,39,0
2827,1,224,204,0
2850,8,39,19,0
2873,1,204,184,0
2896,8,19,0,2915
2918,1,184,164,0
2941,1,164,144,0
2964,1,144,124,0
2987,1,124,104,0
3010,1,104,84,0
3033,1,84,64,0
3056,1,64,44,0
3079,1,44,24,0
3102,1,24,4,0
3125,1,4,0,3129
TURNAROUND, AVG 
21962,2440.22
